"","name","years","region","Inf Death","Mat Death"
"1","Afghanistan",54.4,"South Asia",42,521
"2","Albania",79.9,"Europe",10.8,7
"3","Algeria",77.9,"Africa",18.6,62
"4","Andorra",83.8,"Europe",3.3,11
"5","Angola",62.9,"Africa",46.1,183
"6","Antigua and Barbuda",78.3,"Central America and the Caribbean",13.3,35
"7","Argentina",78.8,"South America",7.4,33
"8","Armenia",76.7,"Central Asia",11.3,19
"9","Australia",83.5,"Australia and Oceania",3,2
"10","Austria",82.7,"Europe",3.2,6
"11","Azerbaijan",75.9,"Central Asia",10.7,18
"12","Bahamas, The",76.7,"Central America and the Caribbean",9.2,76
"13","Bahrain",80.4,"Middle East",9.6,17
"14","Bangladesh",75.2,"South Asia",22,115
"15","Barbados",79,"Central America and the Caribbean",15.1,35
"16","Belarus",74.7,"Europe",2.1,1
"17","Belgium",82.3,"Europe",3,4
"18","Belize",74.3,"Central America and the Caribbean",11.3,67
"19","Benin",63,"Africa",51.6,518
"20","Bhutan",73.7,"South Asia",23,47
"21","Bolivia",72.5,"South America",22.1,146
"22","Bosnia and Herzegovina",78.5,"Europe",3.8,6
"23","Botswana",66.4,"Africa",27.8,155
"24","Brazil",76.3,"South America",12.7,67
"25","Brunei",78.9,"East and Southeast Asia",9.8,36
"26","Bulgaria",76.1,"Europe",7.5,6
"27","Burkina Faso",64.2,"Africa",48,242
"28","Burma",70.3,"East and Southeast Asia",30.8,185
"29","Burundi",68.1,"Africa",35.3,392
"30","Cabo Verde",74.3,"Africa",21.9,40
"31","Cambodia",71.4,"East and Southeast Asia",27.2,137
"32","Cameroon",64.2,"Africa",44.6,258
"33","Canada",84.2,"North America",3.8,12
"34","Central African Republic",56.4,"Africa",79.3,692
"35","Chad",60,"Africa",61.1,748
"36","Chile",80.3,"South America",4.5,10
"37","China",78.7,"East and Southeast Asia",6,16
"38","Colombia",74.9,"South America",11.6,59
"39","Comoros",67.8,"Africa",53.9,179
"40","Congo, Democratic Republic of the",62.6,"Africa",55.8,427
"41","Congo, Republic of the",72.9,"Africa",29.9,241
"42","Cook Islands",77.6,"Australia and Oceania",14.8,0
"43","Costa Rica",80.3,"Central America and the Caribbean",6.3,24
"44","Cote d'Ivoire",63.2,"Africa",52.3,359
"45","Croatia",77.7,"Europe",3.4,3
"46","Cuba",80.1,"Central America and the Caribbean",5.2,35
"47","Cyprus",80.2,"Europe",7.9,14
"48","Czechia",78.6,"Europe",2.5,3
"49","Denmark",82.1,"Europe",3.1,4
"50","Djibouti",65.9,"Africa",44.3,162
"51","Dominica",78.7,"Central America and the Caribbean",10.5,36
"52","Dominican Republic",72.6,"Central America and the Caribbean",20.8,124
"53","Ecuador",74.9,"South America",11.2,55
"54","Egypt",75,"Africa",16.4,17
"55","El Salvador",75.9,"Central America and the Caribbean",10,39
"56","Equatorial Guinea",63.9,"Africa",76.9,174
"57","Eritrea",67.5,"Africa",39,291
"58","Estonia",78.4,"Europe",2,5
"59","Eswatini",60.7,"Africa",38,118
"60","Ethiopia",67.7,"Africa",31.3,195
"61","Fiji",74.8,"Australia and Oceania",9.4,30
"62","Finland",82.2,"Europe",1.9,8
"63","France",82.6,"Europe",3.1,7
"64","Gabon",70.4,"Africa",26,233
"65","Gambia, The",68.4,"Africa",35,354
"66","Gaza Strip",75.5,"Middle East",14.2,16
"67","Georgia",72.8,"Central Asia",20.9,20
"68","Germany",81.9,"Europe",3,4
"69","Ghana",70.1,"Africa",30.5,234
"70","Greece",81.9,"Europe",3.4,5
"71","Grenada",76.3,"Central America and the Caribbean",8.8,48
"72","Guatemala",73.5,"Central America and the Caribbean",23.4,94
"73","Guinea",64.6,"Africa",45.8,494
"74","Guinea-Bissau",64.5,"Africa",45.1,505
"75","Guyana",72.4,"South America",20.6,75
"76","Haiti",65.6,"Central America and the Caribbean",35,328
"77","Honduras",73.1,"Central America and the Caribbean",15.4,47
"78","Hungary",76,"Europe",4.6,12
